node_sig_1,node_sig2,bitcoin_sig_1,bitcoin_sig_2,features,chain_hash,channel_id,node_id_1,node_id_2,bitcoin_key_1,bitcoin_key_2
null,null,null,null,null,null,141,109,17,null,null
null,null,null,null,null,null,142,109,77,null,null
null,null,null,null,null,null,143,87,115,null,null
null,null,null,null,null,null,144,54,116,null,null
null,null,null,null,null,null,145,117,4,null,null
null,null,null,null,null,null,146,118,119,null,null
null,null,null,null,null,null,147,54,120,null,null
null,null,null,null,null,null,148,121,46,null,null
null,null,null,null,null,null,149,122,87,null,null
null,null,null,null,null,null,150,9,109,null,null
null,null,null,null,null,null,151,123,4,null,null
null,null,null,null,null,null,152,116,109,null,null
null,null,null,null,null,null,153,87,124,null,null
null,null,null,null,null,null,154,87,125,null,null
null,null,null,null,null,null,155,46,126,null,null
null,null,null,null,null,null,156,127,46,null,null
null,null,null,null,null,null,157,54,127,null,null
null,null,null,null,null,null,158,127,46,null,null
null,null,null,null,null,null,159,127,46,null,null
null,null,null,null,null,null,160,127,46,null,null
null,null,null,null,null,null,161,115,128,null,null
null,null,null,null,null,null,162,46,109,null,null
null,null,null,null,null,null,163,127,115,null,null
null,null,null,null,null,null,164,58,129,null,null
null,null,null,null,null,null,165,54,33,null,null
null,null,null,null,null,null,166,129,130,null,null
null,null,null,null,null,null,167,40,108,null,null
null,null,null,null,null,null,168,131,8,null,null
null,null,null,null,null,null,169,132,2,null,null
null,null,null,null,null,null,170,46,24,null,null
null,null,null,null,null,null,171,115,108,null,null
null,null,null,null,null,null,172,76,77,null,null
null,null,null,null,null,null,173,24,75,null,null
null,null,null,null,null,null,174,33,77,null,null
null,null,null,null,null,null,175,46,33,null,null
null,null,null,null,null,null,176,54,133,null,null
null,null,null,null,null,null,177,46,93,null,null
null,null,null,null,null,null,178,54,131,null,null
null,null,null,null,null,null,179,134,24,null,null
null,null,null,null,null,null,180,134,46,null,null
null,null,null,null,null,null,181,54,129,null,null
null,null,null,null,null,null,182,87,135,null,null
null,null,null,null,null,null,183,136,10,null,null
null,null,null,null,null,null,184,136,109,null,null
null,null,null,null,null,null,185,87,137,null,null
null,null,null,null,null,null,186,10,108,null,null
null,null,null,null,null,null,187,4,108,null,null
null,null,null,null,null,null,188,40,108,null,null
null,null,null,null,null,null,189,24,108,null,null
null,null,null,null,null,null,190,87,108,null,null
null,null,null,null,null,null,191,10,108,null,null
null,null,null,null,null,null,192,138,33,null,null
null,null,null,null,null,null,193,54,139,null,null
null,null,null,null,null,null,194,54,24,null,null
null,null,null,null,null,null,195,24,77,null,null
null,null,null,null,null,null,196,54,140,null,null
null,null,null,null,null,null,197,46,137,null,null
null,null,null,null,null,null,198,141,49,null,null
null,null,null,null,null,null,199,54,142,null,null
null,null,null,null,null,null,200,54,143,null,null
null,null,null,null,null,null,201,87,144,null,null
null,null,null,null,null,null,202,54,144,null,null
null,null,null,null,null,null,203,46,145,null,null
null,null,null,null,null,null,204,43,119,null,null
null,null,null,null,null,null,205,139,58,null,null
null,null,null,null,null,null,206,54,107,null,null
null,null,null,null,null,null,207,146,87,null,null
null,null,null,null,null,null,208,147,2,null,null
null,null,null,null,null,null,209,148,63,null,null
null,null,null,null,null,null,210,148,63,null,null
null,null,null,null,null,null,211,148,63,null,null
null,null,null,null,null,null,212,148,63,null,null
null,null,null,null,null,null,213,148,63,null,null
null,null,null,null,null,null,214,148,63,null,null
null,null,null,null,null,null,215,54,149,null,null
null,null,null,null,null,null,216,87,149,null,null
null,null,null,null,null,null,217,149,130,null,null
null,null,null,null,null,null,218,46,149,null,null
null,null,null,null,null,null,219,2,150,null,null
null,null,null,null,null,null,220,40,151,null,null
null,null,null,null,null,null,221,87,152,null,null
null,null,null,null,null,null,222,130,108,null,null
null,null,null,null,null,null,223,87,108,null,null
null,null,null,null,null,null,224,8,108,null,null
null,null,null,null,null,null,225,40,108,null,null
null,null,null,null,null,null,226,33,108,null,null
null,null,null,null,null,null,227,108,1,null,null
null,null,null,null,null,null,228,22,153,null,null
null,null,null,null,null,null,229,123,130,null,null
null,null,null,null,null,null,230,54,154,null,null
null,null,null,null,null,null,231,54,155,null,null
null,null,null,null,null,null,232,24,108,null,null
null,null,null,null,null,null,233,139,108,null,null
null,null,null,null,null,null,234,46,45,null,null
null,null,null,null,null,null,235,156,48,null,null
null,null,null,null,null,null,236,10,108,null,null
null,null,null,null,null,null,237,157,116,null,null
null,null,null,null,null,null,238,40,108,null,null
null,null,null,null,null,null,239,158,130,null,null
null,null,null,null,null,null,240,46,158,null,null
null,null,null,null,null,null,241,159,58,null,null
null,null,null,null,null,null,242,160,161,null,null
null,null,null,null,null,null,243,2,162,null,null
null,null,null,null,null,null,244,54,163,null,null
null,null,null,null,null,null,245,33,128,null,null
null,null,null,null,null,null,246,54,164,null,null
null,null,null,null,null,null,247,165,24,null,null
null,null,null,null,null,null,248,54,166,null,null
null,null,null,null,null,null,249,54,164,null,null
null,null,null,null,null,null,250,150,162,null,null
null,null,null,null,null,null,251,54,167,null,null
null,null,null,null,null,null,252,10,108,null,null
null,null,null,null,null,null,253,139,108,null,null
null,null,null,null,null,null,254,49,119,null,null
null,null,null,null,null,null,255,60,108,null,null
null,null,null,null,null,null,256,43,108,null,null
null,null,null,null,null,null,257,46,165,null,null
null,null,null,null,null,null,258,168,8,null,null
null,null,null,null,null,null,259,13,63,null,null
null,null,null,null,null,null,260,150,40,null,null
null,null,null,null,null,null,261,169,109,null,null
null,null,null,null,null,null,262,54,108,null,null
null,null,null,null,null,null,263,8,108,null,null
null,null,null,null,null,null,264,58,108,null,null
null,null,null,null,null,null,265,170,150,null,null
null,null,null,null,null,null,266,24,171,null,null
null,null,null,null,null,null,267,170,58,null,null
null,null,null,null,null,null,268,54,172,null,null
null,null,null,null,null,null,269,46,173,null,null
null,null,null,null,null,null,270,174,54,null,null
null,null,null,null,null,null,271,174,16,null,null
null,null,null,null,null,null,272,175,8,null,null
null,null,null,null,null,null,273,87,176,null,null
null,null,null,null,null,null,274,95,177,null,null
null,null,null,null,null,null,275,54,178,null,null
null,null,null,null,null,null,276,33,179,null,null
null,null,null,null,null,null,277,115,180,null,null
null,null,null,null,null,null,278,128,40,null,null
null,null,null,null,null,null,279,181,130,null,null
null,null,null,null,null,null,280,54,182,null,null
null,null,null,null,null,null,281,150,183,null,null
null,null,null,null,null,null,282,184,185,null,null
null,null,null,null,null,null,283,160,186,null,null
null,null,null,null,null,null,284,24,60,null,null
null,null,null,null,null,null,285,54,187,null,null
null,null,null,null,null,null,286,54,188,null,null
null,null,null,null,null,null,287,58,189,null,null
null,null,null,null,null,null,288,130,190,null,null
null,null,null,null,null,null,289,54,191,null,null
null,null,null,null,null,null,290,58,192,null,null
null,null,null,null,null,null,291,54,193,null,null
null,null,null,null,null,null,292,165,4,null,null
null,null,null,null,null,null,293,2,194,null,null
null,null,null,null,null,null,294,63,194,null,null
null,null,null,null,null,null,295,194,40,null,null
null,null,null,null,null,null,296,95,195,null,null
null,null,null,null,null,null,297,128,1,null,null
null,null,null,null,null,null,298,100,115,null,null
null,null,null,null,null,null,299,156,77,null,null
null,null,null,null,null,null,300,54,196,null,null
null,null,null,null,null,null,301,46,145,null,null
null,null,null,null,null,null,302,54,145,null,null
null,null,null,null,null,null,303,46,145,null,null
null,null,null,null,null,null,304,87,145,null,null
null,null,null,null,null,null,305,49,130,null,null
null,null,null,null,null,null,306,197,194,null,null
null,null,null,null,null,null,307,194,1,null,null
null,null,null,null,null,null,308,76,194,null,null
null,null,null,null,null,null,309,198,194,null,null
null,null,null,null,null,null,310,62,194,null,null
null,null,null,null,null,null,311,199,22,null,null
null,null,null,null,null,null,312,199,60,null,null
null,null,null,null,null,null,313,54,200,null,null
null,null,null,null,null,null,314,139,201,null,null
null,null,null,null,null,null,315,58,202,null,null
null,null,null,null,null,null,316,203,130,null,null
null,null,null,null,null,null,317,191,8,null,null
null,null,null,null,null,null,318,24,150,null,null
null,null,null,null,null,null,319,87,204,null,null
null,null,null,null,null,null,320,54,205,null,null
null,null,null,null,null,null,321,170,130,null,null
null,null,null,null,null,null,322,54,109,null,null
null,null,null,null,null,null,323,206,63,null,null
null,null,null,null,null,null,324,58,109,null,null
null,null,null,null,null,null,325,87,39,null,null
null,null,null,null,null,null,326,139,39,null,null
null,null,null,null,null,null,327,46,170,null,null
null,null,null,null,null,null,328,160,206,null,null
null,null,null,null,null,null,329,60,207,null,null
null,null,null,null,null,null,330,208,130,null,null
null,null,null,null,null,null,331,139,206,null,null
null,null,null,null,null,null,332,209,109,null,null
null,null,null,null,null,null,333,54,210,null,null
null,null,null,null,null,null,334,58,206,null,null
null,null,null,null,null,null,335,206,77,null,null
null,null,null,null,null,null,336,211,177,null,null
null,null,null,null,null,null,337,76,212,null,null
null,null,null,null,null,null,338,165,130,null,null
null,null,null,null,null,null,339,207,40,null,null
null,null,null,null,null,null,340,24,139,null,null
null,null,null,null,null,null,341,130,213,null,null
null,null,null,null,null,null,342,214,130,null,null
null,null,null,null,null,null,343,54,214,null,null
null,null,null,null,null,null,344,54,214,null,null
null,null,null,null,null,null,345,54,215,null,null
null,null,null,null,null,null,346,87,119,null,null
null,null,null,null,null,null,347,109,216,null,null
null,null,null,null,null,null,348,95,217,null,null
null,null,null,null,null,null,349,218,58,null,null
null,null,null,null,null,null,350,219,220,null,null
null,null,null,null,null,null,351,150,221,null,null
null,null,null,null,null,null,352,33,206,null,null
null,null,null,null,null,null,353,101,222,null,null
null,null,null,null,null,null,354,223,177,null,null
null,null,null,null,null,null,355,224,87,null,null
null,null,null,null,null,null,356,46,225,null,null
null,null,null,null,null,null,357,226,10,null,null
null,null,null,null,null,null,358,101,194,null,null
null,null,null,null,null,null,359,219,17,null,null
null,null,null,null,null,null,360,219,17,null,null
null,null,null,null,null,null,361,24,63,null,null
null,null,null,null,null,null,362,122,58,null,null
null,null,null,null,null,null,363,54,177,null,null
null,null,null,null,null,null,364,54,227,null,null
null,null,null,null,null,null,365,228,77,null,null
null,null,null,null,null,null,366,54,229,null,null
null,null,null,null,null,null,367,87,230,null,null
null,null,null,null,null,null,368,76,150,null,null
null,null,null,null,null,null,369,54,231,null,null
null,null,null,null,null,null,370,87,232,null,null
null,null,null,null,null,null,371,228,233,null,null
null,null,null,null,null,null,372,116,234,null,null
null,null,null,null,null,null,373,226,87,null,null
null,null,null,null,null,null,374,235,4,null,null
null,null,null,null,null,null,375,87,236,null,null
null,null,null,null,null,null,376,54,237,null,null
null,null,null,null,null,null,377,223,177,null,null
null,null,null,null,null,null,378,223,177,null,null
null,null,null,null,null,null,379,54,238,null,null
null,null,null,null,null,null,380,54,239,null,null
null,null,null,null,null,null,381,95,6,null,null
null,null,null,null,null,null,382,27,152,null,null
null,null,null,null,null,null,383,54,152,null,null
null,null,null,null,null,null,384,16,58,null,null
null,null,null,null,null,null,385,54,39,null,null
null,null,null,null,null,null,386,46,240,null,null
null,null,null,null,null,null,387,94,58,null,null
null,null,null,null,null,null,388,94,62,null,null
null,null,null,null,null,null,389,54,241,null,null
null,null,null,null,null,null,390,227,108,null,null
null,null,null,null,null,null,391,95,16,null,null
null,null,null,null,null,null,392,94,54,null,null
null,null,null,null,null,null,393,242,243,null,null
null,null,null,null,null,null,394,54,244,null,null
null,null,null,null,null,null,395,106,245,null,null
null,null,null,null,null,null,396,16,63,null,null
null,null,null,null,null,null,397,54,16,null,null
null,null,null,null,null,null,398,19,227,null,null
null,null,null,null,null,null,399,58,107,null,null
null,null,null,null,null,null,400,115,194,null,null
null,null,null,null,null,null,401,54,246,null,null
null,null,null,null,null,null,402,58,247,null,null
null,null,null,null,null,null,403,160,248,null,null
null,null,null,null,null,null,404,169,54,null,null
null,null,null,null,null,null,405,58,110,null,null
null,null,null,null,null,null,406,249,130,null,null
null,null,null,null,null,null,407,250,251,null,null
null,null,null,null,null,null,408,251,1,null,null
null,null,null,null,null,null,409,252,251,null,null
null,null,null,null,null,null,410,191,46,null,null
null,null,null,null,null,null,411,249,58,null,null
null,null,null,null,null,null,412,24,253,null,null
null,null,null,null,null,null,413,43,253,null,null
null,null,null,null,null,null,414,100,130,null,null
null,null,null,null,null,null,415,254,2,null,null
null,null,null,null,null,null,416,54,255,null,null
null,null,null,null,null,null,417,46,256,null,null
null,null,null,null,null,null,418,257,130,null,null
null,null,null,null,null,null,419,258,150,null,null
null,null,null,null,null,null,420,259,40,null,null
null,null,null,null,null,null,421,46,260,null,null
null,null,null,null,null,null,422,212,261,null,null
null,null,null,null,null,null,423,262,54,null,null
null,null,null,null,null,null,424,263,139,null,null
null,null,null,null,null,null,425,252,77,null,null
null,null,null,null,null,null,426,262,130,null,null
null,null,null,null,null,null,427,54,264,null,null
null,null,null,null,null,null,428,54,265,null,null
null,null,null,null,null,null,429,62,192,null,null
null,null,null,null,null,null,430,87,266,null,null
null,null,null,null,null,null,431,150,77,null,null
null,null,null,null,null,null,432,54,192,null,null
null,null,null,null,null,null,433,87,267,null,null
null,null,null,null,null,null,434,268,130,null,null
null,null,null,null,null,null,435,54,252,null,null
null,null,null,null,null,null,436,54,269,null,null
null,null,null,null,null,null,437,115,270,null,null
null,null,null,null,null,null,438,271,87,null,null
null,null,null,null,null,null,439,224,1,null,null
null,null,null,null,null,null,440,46,272,null,null
null,null,null,null,null,null,441,95,227,null,null
null,null,null,null,null,null,442,46,33,null,null
null,null,null,null,null,null,443,227,6,null,null
null,null,null,null,null,null,444,46,8,null,null
null,null,null,null,null,null,445,54,273,null,null
null,null,null,null,null,null,446,258,109,null,null
null,null,null,null,null,null,447,58,6,null,null
null,null,null,null,null,null,448,46,274,null,null
null,null,null,null,null,null,449,54,207,null,null
null,null,null,null,null,null,450,275,220,null,null
null,null,null,null,null,null,451,258,276,null,null
null,null,null,null,null,null,452,277,24,null,null
null,null,null,null,null,null,453,251,278,null,null
null,null,null,null,null,null,454,79,58,null,null
null,null,null,null,null,null,455,279,130,null,null
null,null,null,null,null,null,456,222,276,null,null
null,null,null,null,null,null,457,157,63,null,null
null,null,null,null,null,null,458,24,280,null,null
