sig,chainHash,channel_id,timestamp,message_flags,channel_flags,time_lock_delta,htlc_minimum_msat,base_fee,fee_late,htlc_maximum_msat
null,null,15969,17167735,null,0,40,1000,1000,1,99579
null,null,29086,17283054,null,0,40,1000,1000,1,99872
null,null,22746,17287668,null,0,40,1000,1000,1,100309
null,null,18700,17332643,null,0,40,1000,1000,1,101630
null,null,13172,17517159,null,0,40,1000,1000,1,101512
null,null,21116,17675838,null,0,40,1000,1000,1,99519
null,null,29026,17700052,null,0,40,1000,1000,1,99392
null,null,27484,17739714,null,0,40,1000,1000,1,99627
null,null,27997,17901593,null,0,40,1000,1000,1,100952
null,null,26673,17957584,null,0,40,1000,1000,1,99867
null,null,11046,17971289,null,0,40,1,1000,1,101325
null,null,30252,18006815,null,0,40,1000,1000,1,95975
null,null,22823,18058601,null,0,40,1000,0,1,101107
null,null,177,18088647,null,0,144,1000,1000,1,100514
null,null,2519,18154150,null,0,40,1000,800,1,99424
null,null,26089,18244494,null,0,40,1000,1000,1,99743
null,null,25584,18244892,null,0,40,1000,1000,1,99743
null,null,27511,18603195,null,0,40,1000,1000,1,100461
null,null,4230,18636599,null,0,144,1000,1000,1,99338
null,null,24614,18656223,null,0,40,1000,1000,1,101299
null,null,3591,18691587,null,0,144,1000,1000,1,100575
null,null,29308,18703510,null,0,40,1000,1000,1,99547
null,null,16914,18783340,null,0,144,1,2,0,99956
null,null,24462,18848254,null,0,40,1000,1000,1,97115
null,null,15864,18986883,null,0,40,1000,1000,1,99471
null,null,24743,19018661,null,0,40,1000,0,0,98977
null,null,3891,19067160,null,0,4,1000,1,1,101128
null,null,16766,19494731,null,0,40,1000,1000,1,100779
null,null,11684,19576543,null,0,40,1000,1000,1,99657
null,null,26693,19598129,null,0,40,1000,1000,1,99399
null,null,26741,19697251,null,0,40,1000,1000,1,100203
null,null,28153,19722164,null,0,40,1000,1000,1,100160
null,null,28153,19722760,null,0,40,1000,1000,1,100160
null,null,28427,19859540,null,0,40,1000,1000,1,100020
null,null,25306,19895545,null,0,40,1000,1000,1,99361
null,null,29330,19903998,null,0,40,1000,1000,1,100862
null,null,21240,20174515,null,0,40,1000,1000,1,99421
null,null,27214,20197376,null,0,40,1000,0,1000000,99921
null,null,23245,20248215,null,0,40,1000,0,1,101292
null,null,26198,20255462,null,0,40,1000,1,1,100746
null,null,5390,20286468,null,0,144,1,1000,1,100387
null,null,25627,20310118,null,0,40,1000,1000,1,101464
null,null,28159,20514040,null,0,40,1000,1000,1,100904
null,null,29359,20599067,null,0,40,1000,1000,1,100323
null,null,10561,20612362,null,0,40,1000,4000,30,97744
null,null,27262,20720451,null,0,40,1000,0,1,98591
null,null,12422,20744320,null,0,40,1,1000,1,100658
null,null,23930,20963520,null,0,40,1000,0,1,100016
null,null,17934,20984758,null,0,40,1000,1000,1,101239
null,null,6634,21291555,null,0,36,0,10,100,100421
null,null,30125,21332865,null,0,40,1,1000,1,98604
null,null,17085,21369931,null,0,14,1,800,5,99861
null,null,30320,21408589,null,0,40,1000,1000,1,99872
null,null,16253,21536170,null,0,40,1000,0,1,100818
null,null,16743,21556674,null,0,40,1000,1000,1,100585
null,null,30440,21798216,null,0,40,1000,1000,1,99752
null,null,29863,21878519,null,0,40,1000,1000,1,101317
null,null,14972,22026685,null,0,40,1000,248,1,99143
null,null,30039,22196064,null,0,40,1000,1000,1,99423
null,null,26770,22198641,null,0,40,1000,1000,1,99943
null,null,27051,22276663,null,0,34,1,10,10,101996
null,null,11966,22298352,null,0,40,1000,1000,1,100013
null,null,26902,22456593,null,0,40,1000,1000,1,98728
null,null,415,22506663,null,0,144,1000,1000,1,99699
null,null,26262,22537999,null,0,40,1000,0,1,99706
null,null,21916,22573429,null,0,40,1000,0,1,99537
null,null,25984,22583708,null,0,40,1000,0,1,99572
null,null,21963,22652870,null,0,40,1000,1000,1,98675
null,null,18959,22671741,null,0,40,1000,0,1,98569
null,null,6328,22679217,null,0,144,1000,1000,1,98348
null,null,16654,22723489,null,0,144,1,0,0,98566
null,null,23927,22764328,null,0,40,1000,0,1,99428
null,null,25538,22861839,null,0,40,1000,0,1,99822
null,null,20541,22921326,null,0,40,1000,1000,1,100614
null,null,26939,23033504,null,0,40,1000,1000,1,99339
null,null,6314,23047870,null,0,144,1000,1000,1,99263
null,null,18559,23077632,null,0,40,1000,1000,1,100303
null,null,28245,23105153,null,0,40,1,1000,1,99349
null,null,2344,23107159,null,0,14,1000,1000,10,99805
null,null,24736,23119738,null,0,40,1000,0,0,101468
null,null,24736,23120335,null,0,40,1000,0,0,101468
null,null,11950,23229108,null,0,144,1000,1,1,99209
null,null,11746,23245642,null,0,40,1000,1000,1,100714
null,null,6151,23263799,null,0,144,1000,1000,1,100329
null,null,30044,23484953,null,0,40,1000,1000,1,99672
null,null,16757,23506250,null,0,40,1000,1000,1,98461
null,null,23870,23519226,null,0,40,1000,1000,1,100936
null,null,18677,23792756,null,0,40,1000,1000,1,101857
null,null,28425,23911449,null,0,40,1000,1000,1,100294
null,null,14458,24050319,null,0,40,1000,1000,1,101314
null,null,9796,24114769,null,0,40,1000,1000,1,100294
null,null,2540,24197285,null,0,144,1000,1000,1,98681
null,null,19330,24210718,null,0,40,1000,1000,1,101251
null,null,16830,24324011,null,0,40,1000,1000,1,99986
null,null,24736,24400849,null,0,40,1000,0,0,98544
null,null,27388,24439288,null,0,40,1000,0,1,99852
null,null,14530,24463206,null,0,40,1000,0,0,99148
null,null,30440,24604127,null,0,40,1000,1000,1,100739
null,null,1188,24628958,null,0,144,1000,1000,1,99008
null,null,3637,24631237,null,0,144,1000,1000,1,100658
null,null,24738,24655248,null,0,40,1000,0,0,101927
null,null,16206,24659457,null,0,40,1000,1000,1,101317
null,null,9077,24671392,null,0,40,1000,1000,1,99601
null,null,9271,24677621,null,0,40,1,1000,1,99477
null,null,29863,24693333,null,0,40,1000,1000,1,100973
null,null,15885,24821497,null,0,40,1000,1000,1,99409
null,null,14171,24860764,null,0,40,1000,0,0,98843
null,null,12933,24863629,null,0,40,1000,0,0,100319
null,null,14419,24878258,null,0,40,1000,0,0,98522
null,null,10465,24952776,null,0,40,1000,1000,1,98325
null,null,24566,25048360,null,0,40,10000,1000,1,98650
null,null,28289,25097618,null,0,40,1000,1000,1,98914
null,null,4700,25152461,null,0,144,1000,1000,1,98907
null,null,4700,25153261,null,0,144,1000,1000,1,98907
null,null,27524,25278955,null,0,40,1000,1000,1,100681
null,null,27524,25279748,null,0,40,1000,1000,1,100681
null,null,25546,25389929,null,0,40,1000,0,1,99384
null,null,29149,25473695,null,0,40,1000,1000,1,100985
null,null,29060,25615422,null,0,40,1000,1000,1,101163
null,null,16743,25648912,null,0,40,1000,1000,1,100055
null,null,13980,25655607,null,0,40,1000,0,0,100105
null,null,26773,25684385,null,0,40,1000,1000,1,100481
null,null,17197,25739756,null,0,40,1000,1000,1,100211
null,null,24762,25806016,null,0,40,1000,0,0,100447
null,null,11618,25839887,null,0,40,1000,0,1,99590
null,null,8545,25889881,null,0,40,1,1000,1,98913
null,null,22968,25919976,null,0,40,1000,1000,1,98965
null,null,9503,25928986,null,0,40,1000,1000,1,101013
null,null,16644,25942795,null,0,40,1000,1000,1,98363
null,null,10958,25946414,null,0,18,1000,10000,200,101005
null,null,16805,25992312,null,0,40,1000,1000,1,101239
null,null,3375,26043049,null,0,144,1000,1000,1,101921
null,null,29422,26104708,null,0,40,1000,100,1000,99733
null,null,29423,26105305,null,0,40,1000,100,1000,99733
null,null,23860,26147716,null,0,40,1000,1000,1,100686
null,null,10696,26196520,null,0,40,1,1000,1,99841
null,null,16652,26344616,null,0,40,1000,1000,1,99864
null,null,26075,26371575,null,0,40,1000,1000,1,101347
null,null,20946,26497380,null,0,40,1000,1000,1,99303
null,null,24614,26535851,null,0,40,1000,1000,1,100108
null,null,27974,26567893,null,0,40,1000,1000,1,99805
null,null,30141,26761987,null,0,40,1000,1000,1,100599
null,null,27590,26798729,null,0,40,1000,1000,1,99885
null,null,17006,26946768,null,0,40,1000,0,0,101897
null,null,28788,26966297,null,0,40,1000,1000,1,98996
null,null,24763,27024191,null,0,40,1000,0,0,100134
null,null,6120,27195126,null,0,144,1000,1000,1,100151
null,null,3730,27218762,null,0,144,1000,1000,1,100270
null,null,24069,27395510,null,0,40,1000,1000,1,99913
null,null,4700,27590123,null,0,144,1000,1000,1,100997
null,null,27170,27618490,null,0,40,1000,1000,1,98412
null,null,14481,27626096,null,0,40,1000,0,0,98956
null,null,17009,27626141,null,0,40,1000,0,0,99159
null,null,14416,27648617,null,0,40,1000,0,0,100913
null,null,24754,28094069,null,0,40,1000,0,0,98910
null,null,24754,28094667,null,0,40,1000,0,0,98910
null,null,24687,28131980,null,0,40,1000,0,0,99193
null,null,27418,28135537,null,0,40,1000,0,1,100439
null,null,26859,28268501,null,0,40,1000,1000,1,99062
null,null,2453,28288557,null,0,144,1000,1000,1,102611
null,null,29863,28306774,null,0,40,1000,1000,1,102591
null,null,30052,28414551,null,0,40,1000,1000,1,99893
null,null,11312,28781477,null,0,48,1000,500,100,100732
null,null,25497,28918379,null,0,40,1000,0,1,99350
null,null,14509,28957241,null,0,40,1000,0,0,98868
null,null,23921,28960482,null,0,40,1000,0,1,99587
null,null,18449,28991219,null,0,40,1000,1000,1,98646
null,null,21097,29019562,null,0,40,1000,1000,1,99181
null,null,5430,29043633,null,0,144,1000,1000,1,100958
null,null,21915,29090017,null,0,40,1000,0,1,99723
null,null,24475,29133879,null,0,40,1000,1000,1,100358
null,null,9539,29177067,null,0,40,1000,1000,1,101848
null,null,8838,29217545,null,0,40,1000,1000,1,101341
null,null,23929,29357474,null,0,40,1000,0,1,99384
null,null,28168,29439540,null,0,40,1000,1000,1,99379
null,null,18449,29528126,null,0,40,1000,1000,1,101473
null,null,14508,29634859,null,0,40,1000,0,0,97837
null,null,27193,29649178,null,0,40,1000,0,1,98279
null,null,14387,29649231,null,0,40,1000,0,0,101164
null,null,24768,29650392,null,0,40,1000,0,0,100834
null,null,24695,29690044,null,0,40,1000,0,0,100717
